model,configuration,timestamp,latency_ms,throughput_fps,power_watts,efficiency_fps_per_watt,temperature_celsius,cores,batch_size
resnet18-imagenet,resnet18-imagenet_cores1_batch1,2025-08-03 19:05:04.107077,12.252742399944163,81.6143820998438,21.699600938768207,3.76110059950608,84.05,1,1
resnet18-imagenet,resnet18-imagenet_cores1_batch1,2025-08-03 19:05:04.350992,12.119399880158788,82.51233641008453,21.495110943033716,3.8386559915302834,82.05,1,1
resnet18-imagenet,resnet18-imagenet_cores1_batch1,2025-08-03 19:05:04.594361,11.273246013715754,88.70559542330007,19.60135405398356,4.525483044640609,82.05,1,1
resnet18-imagenet,resnet18-imagenet_cores1_batch1,2025-08-03 19:05:04.839104,12.208207937756871,81.91210414325064,20.833049221578825,3.931834618736765,82.05,1,1
resnet18-imagenet,resnet18-imagenet_cores1_batch1,2025-08-03 19:05:05.084305,12.670799060773005,78.92162090202014,20.153544807109526,3.9160168425645456,83.0,1,1
resnet18-imagenet,resnet18-imagenet_cores1_batch1,2025-08-03 19:05:05.329504,12.669600251234309,78.92908854030948,19.147552969543092,4.122150160172291,82.05,1,1
resnet18-imagenet,resnet18-imagenet_cores1_batch1,2025-08-03 19:05:05.574568,12.451561825693432,80.31121027215472,19.65513780725054,4.086016137853223,82.05,1,1
resnet18-imagenet,resnet18-imagenet_cores1_batch1,2025-08-03 19:05:05.818498,12.637658998771872,79.128579121907,19.643249475014393,4.028283570015038,82.05,1,1
resnet18-imagenet,resnet18-imagenet_cores1_batch1,2025-08-03 19:05:06.063295,12.155362582456014,82.26821645314904,20.218820911909695,4.0688928801327755,82.05,1,1
resnet18-imagenet,resnet18-imagenet_cores1_batch1,2025-08-03 19:05:06.306986,12.629294688230164,79.1809855329409,20.781804090857758,3.8101112486078077,82.05,1,1
resnet18-imagenet,resnet18-imagenet_cores1_batch1,2025-08-03 19:05:06.550273,12.350613138343828,80.96764013240693,20.842881761517308,3.8846662884159975,82.05,1,1
